vendor_category,department_name,reporting_month,total_shipments,total_gross_sales,avg_delay_days,late_delivery_rate,rolling_3_month_sales_avg,risk_rank_within_department
Men's Footwear,Apparel,12/24/2,52,6759.48,0.98,63.46,6152.86,16
Cleats,Apparel,5/9/201,75,13377.77,0.97,70.67,13357.77,17
Cleats,Apparel,6/23/20,65,11458.09,0.97,69.23,12457.92,17
Cleats,Apparel,7/20/20,67,11758.04,0.97,65.67,13797.7,17
Men's Footwear,Apparel,12/14/2,35,4549.65,0.97,57.14,5112.94,17
Children's Clothing,Apparel,12/21/2,45,16069.5,0.96,60.0,14879.17,18
Cleats,Apparel,10/26/2,48,8698.55,0.96,62.5,8978.5,18
Men's Footwear,Apparel,12/1/20,53,6889.47,0.96,69.81,6282.85,18
Cleats,Apparel,3/29/20,79,14517.58,0.95,68.35,11538.08,19
Men's Footwear,Apparel,8/21/20,65,8449.35,0.95,73.85,8319.36,19
Cleats,Apparel,1/3/201,67,12777.87,0.94,67.16,12157.97,20
Cleats,Apparel,11/26/2,44,8098.65,0.93,63.64,8238.63,21
Cleats,Apparel,8/22/20,74,13917.68,0.93,64.86,13557.74,21
Men's Footwear,Apparel,12/27/2,55,7149.45,0.93,69.09,7409.43,21
Men's Footwear,Apparel,12/6/20,43,5589.57,0.93,76.74,6456.17,21
Men's Footwear,Apparel,7/22/20,74,9619.26,0.93,68.92,9055.97,21
Cleats,Apparel,11/6/20,48,8278.62,0.92,64.58,8578.57,22
Cleats,Apparel,12/30/2,53,8158.64,0.92,73.58,8218.63,22
Cleats,Apparel,11/18/2,43,7258.79,0.91,74.42,8618.56,23
Baby ,Apparel,12/17/2,51,3013.08,0.9,74.51,2619.21,24
Men's Footwear,Apparel,12/7/20,31,4029.69,0.9,70.97,5632.9,24
Men's Footwear,Apparel,3/29/20,62,8059.38,0.9,66.13,8839.32,24
Cleats,Apparel,3/2/201,92,15477.42,0.89,68.48,15417.43,25
Cleats,Apparel,6/27/20,85,13617.73,0.89,69.41,13577.74,25
Men's Footwear,Apparel,2/24/20,62,8059.38,0.89,67.74,8102.71,25
Men's Footwear,Apparel,7/5/201,72,9359.28,0.89,62.5,8622.67,25
Men's Footwear,Apparel,8/28/20,66,8579.34,0.89,60.61,8362.69,25
Men's Footwear,Apparel,9/20/20,64,8319.36,0.89,65.63,9185.96,25
Cleats,Apparel,1/11/20,66,10618.23,0.88,68.18,11338.11,26
Cleats,Apparel,12/22/2,43,7618.73,0.88,69.77,7538.74,26
Men's Footwear,Apparel,1/29/20,52,6759.48,0.88,51.92,7582.75,26
Men's Footwear,Apparel,10/14/2,52,6759.48,0.88,63.46,5589.57,26
Men's Footwear,Apparel,11/3/20,57,7409.43,0.88,64.91,5762.89,26
Men's Footwear,Apparel,12/12/2,41,5329.59,0.88,60.98,5372.92,26
Men's Footwear,Apparel,5/3/201,66,8579.34,0.88,69.7,8666.0,26
Men's Footwear,Apparel,3/15/20,63,8189.37,0.87,66.67,8839.32,27
Men's Footwear,Apparel,5/20/20,71,9229.29,0.87,57.75,8492.68,27
Men's Footwear,Apparel,5/26/20,70,9099.3,0.87,62.86,8709.33,27
Cleats,Apparel,1/21/20,86,16137.31,0.86,63.95,13777.7,28
Cleats,Apparel,1/29/20,65,10798.2,0.86,60.0,12197.97,28
Cleats,Apparel,10/8/20,50,9658.39,0.86,66.0,9678.39,28
Cleats,Apparel,12/15/2,56,10258.29,0.86,64.29,10158.31,28
Cleats,Apparel,3/15/20,64,11458.09,0.86,60.94,12477.92,28
Cleats,Apparel,8/29/20,77,14817.53,0.86,67.53,14757.54,28
Cleats,Apparel,8/6/201,70,13677.72,0.86,68.57,13817.7,28
Men's Footwear,Apparel,2/1/201,72,9359.28,0.86,63.89,6802.81,28
Cleats,Apparel,8/20/20,72,14217.63,0.85,63.89,12357.94,29
Men's Footwear,Apparel,12/23/2,47,6109.53,0.85,68.09,5979.54,29
Men's Footwear,Apparel,2/12/20,55,7149.45,0.85,65.45,7626.08,29
Cleats,Apparel,1/14/20,76,13557.74,0.84,61.84,13457.76,30
Cleats,Apparel,2/8/201,73,13977.67,0.84,63.01,14377.6,30
Cleats,Apparel,3/12/20,68,11758.04,0.84,67.65,13297.78,30
Cleats,Apparel,6/13/20,63,11758.04,0.84,66.67,12277.95,30
Cleats,Apparel,6/4/201,64,12297.95,0.84,68.75,13117.81,30
Men's Footwear,Apparel,11/4/20,45,5849.55,0.84,60.0,6196.19,30
Men's Footwear,Apparel,6/23/20,68,8839.32,0.84,61.76,8492.68,30
Men's Footwear,Apparel,7/26/20,57,7409.43,0.84,59.65,8059.38,30
Cleats,Apparel,1/15/20,69,11638.06,0.83,59.42,12237.96,31
Cleats,Apparel,10/12/2,47,9958.34,0.83,72.34,9038.49,31
Cleats,Apparel,11/4/20,53,10678.22,0.83,64.15,9838.36,31
Men's Footwear,Apparel,11/10/2,48,6239.52,0.83,68.75,5849.55,31
Men's Footwear,Apparel,11/6/20,42,5459.58,0.83,57.14,5329.59,31
Women's Clothing,Apparel,12/13/2,69,14891.58,0.83,65.22,10503.24,31
Cleats,Apparel,7/4/201,77,14517.58,0.82,64.94,12817.86,32
Cleats,Apparel,9/18/20,67,11938.09,0.82,64.18,13477.81,32
Children's Clothing,Apparel,10/18/2,31,11070.1,0.81,64.52,11070.1,33
Cleats,Apparel,5/29/20,84,14997.5,0.81,64.29,14057.66,33
Cleats,Apparel,7/5/201,69,13437.76,0.81,62.32,13317.78,33
Cleats,Apparel,9/22/20,67,13317.78,0.81,71.64,14397.65,33
Men's Footwear,Apparel,10/29/2,57,7409.43,0.81,61.4,6976.13,33
Men's Footwear,Apparel,6/13/20,75,9749.25,0.81,65.33,8536.01,33
Women's Clothing,Apparel,1/27/20,68,14675.76,0.81,63.24,11546.37,33
Cleats,Apparel,12/12/2,55,9058.49,0.8,67.27,8778.54,34
Cleats,Apparel,5/23/20,74,13377.77,0.8,63.51,13177.8,34
Men's Footwear,Apparel,2/8/201,70,9099.3,0.8,55.71,9489.27,34
Cleats,Apparel,2/13/20,57,11878.02,0.79,64.91,10918.18,35
Cleats,Apparel,2/2/201,68,11458.09,0.79,70.59,13457.76,35
Cleats,Apparel,3/14/20,63,11758.04,0.79,66.67,12577.9,35
Cleats,Apparel,4/25/20,75,13617.73,0.79,66.67,13257.79,35
Cleats,Apparel,4/5/201,89,16437.26,0.79,59.55,14557.57,35
Cleats,Apparel,5/13/20,70,12537.91,0.79,58.57,12777.87,35
Cleats,Apparel,6/12/20,76,13497.75,0.79,57.89,12197.97,35
Men's Footwear,Apparel,10/17/2,47,6109.53,0.79,65.96,5762.89,35
Men's Footwear,Apparel,10/4/20,47,6109.53,0.79,63.83,5849.55,35
Men's Footwear,Apparel,5/11/20,71,9229.29,0.79,67.61,7842.73,35
Men's Footwear,Apparel,6/17/20,61,7929.39,0.79,67.21,8059.38,35
Men's Footwear,Apparel,8/15/20,67,8709.33,0.79,71.64,8492.68,35
Men's Footwear,Apparel,9/2/201,84,10919.16,0.79,57.14,9445.94,35
Cleats,Apparel,10/28/2,45,7858.69,0.78,55.56,8158.64,36
Cleats,Apparel,5/11/20,69,12717.88,0.78,62.32,12717.88,36
Cleats,Apparel,6/9/201,60,9838.36,0.78,66.67,12297.95,36
Cleats,Apparel,7/8/201,68,11038.16,0.78,66.18,11798.03,36
Cleats,Apparel,8/27/20,72,13677.72,0.78,61.11,14377.6,36
Men's Footwear,Apparel,11/27/2,36,4679.64,0.78,63.89,5589.57,36
Cleats,Apparel,11/17/2,53,10198.3,0.77,64.15,8958.51,37
Cleats,Apparel,3/4/201,79,14517.58,0.77,70.89,15357.44,37
Cleats,Apparel,3/6/201,61,11158.14,0.77,62.3,12857.86,37
Cleats,Apparel,8/17/20,84,14697.55,0.77,59.52,13577.74,37
Cleats,Apparel,8/31/20,77,15117.48,0.77,64.94,14317.61,37
Men's Footwear,Apparel,10/13/2,39,5069.61,0.77,58.97,5286.26,37
Men's Footwear,Apparel,10/5/20,30,3899.7,0.77,60.0,5026.28,37
Men's Footwear,Apparel,2/14/20,62,8059.38,0.77,64.52,7409.43,37
Men's Footwear,Apparel,4/27/20,64,8319.36,0.77,59.38,7409.43,37
Cleats,Apparel,10/15/2,58,9838.36,0.76,65.52,8438.59,38
Cleats,Apparel,12/1/20,38,6898.85,0.76,63.16,8378.6,38
Cleats,Apparel,2/1/201,71,13377.77,0.76,67.61,10578.24,38
Cleats,Apparel,4/23/20,70,13617.73,0.76,61.43,12477.92,38
Cleats,Apparel,8/19/20,66,12117.98,0.76,56.06,13237.79,38
Men's Footwear,Apparel,10/8/20,59,7669.41,0.76,64.41,6542.83,38
Men's Footwear,Apparel,2/13/20,54,7019.46,0.76,62.96,7192.78,38
Men's Footwear,Apparel,3/19/20,66,8579.34,0.76,62.12,8189.37,38
Men's Footwear,Apparel,5/29/20,80,10399.2,0.76,56.25,8709.33,38
Men's Footwear,Apparel,6/10/20,79,10269.21,0.76,59.49,9532.6,38
Men's Footwear,Apparel,6/12/20,58,7539.42,0.76,51.72,8709.33,38
Men's Footwear,Apparel,6/14/20,72,9359.28,0.76,63.89,8882.65,38
Men's Footwear,Apparel,6/7/201,72,9359.28,0.76,62.5,8666.0,38
Cleats,Apparel,10/14/2,40,6898.85,0.75,67.5,8478.59,39
Cleats,Apparel,3/16/20,75,13437.76,0.75,60.0,12217.96,39
Cleats,Apparel,5/22/20,91,14937.51,0.75,67.03,13217.8,39
Men's Footwear,Apparel,11/23/2,32,4159.68,0.75,62.5,4289.67,39
Men's Footwear,Apparel,2/11/20,57,7409.43,0.75,52.63,8362.69,39
Men's Footwear,Apparel,3/22/20,51,6629.49,0.75,62.75,8362.69,39
Men's Footwear,Apparel,4/28/20,60,7799.4,0.75,61.67,8016.05,39
Men's Footwear,Apparel,7/28/20,77,10009.23,0.75,54.55,8189.37,39
Men's Footwear,Apparel,8/26/20,63,8189.37,0.75,57.14,8795.99,39
Cleats,Apparel,10/2/20,80,14337.61,0.74,56.25,10338.28,40
Cleats,Apparel,4/1/201,84,15177.47,0.74,53.57,14457.59,40
Cleats,Apparel,6/16/20,72,12717.88,0.74,66.67,11658.06,40
Cleats,Apparel,6/17/20,70,12477.92,0.74,60.0,12777.87,40
Cleats,Apparel,6/18/20,69,12177.97,0.74,65.22,12457.92,40
Men's Footwear,Apparel,1/3/201,77,10009.23,0.74,61.04,8579.34,40
Men's Footwear,Apparel,11/29/2,34,4419.66,0.74,61.76,4852.96,40
Men's Footwear,Apparel,12/13/2,42,5459.58,0.74,61.9,5762.89,40
Men's Footwear,Apparel,12/17/2,38,4939.62,0.74,55.26,5936.21,40
Men's Footwear,Apparel,4/25/20,46,5979.54,0.74,60.87,7799.4,40
Men's Footwear,Apparel,7/6/201,74,9619.26,0.74,58.11,8795.99,40
Men's Footwear,Apparel,8/6/201,57,7409.43,0.74,64.91,8492.68,40
Cleats,Apparel,5/24/20,71,12057.99,0.73,63.38,13457.76,41
Cleats,Apparel,5/3/201,62,12117.98,0.73,61.29,13257.79,41
Cleats,Apparel,9/21/20,83,15657.43,0.73,57.83,13957.73,41
Cleats,Apparel,9/5/201,78,13377.77,0.73,66.67,13937.68,41
Men's Footwear,Apparel,2/17/20,60,7799.4,0.73,63.33,8319.36,41
Men's Footwear,Apparel,4/12/20,97,12609.03,0.73,62.89,10702.51,41
Men's Footwear,Apparel,6/4/201,66,8579.34,0.73,62.12,8709.33,41
Men's Footwear,Apparel,9/15/20,55,7149.45,0.73,61.82,9229.29,41
Cleats,Apparel,1/4/201,83,14337.61,0.72,63.86,12537.91,42
Cleats,Apparel,4/17/20,68,13017.83,0.72,61.76,13857.69,42
Cleats,Apparel,7/10/20,65,11698.05,0.72,60.0,11218.13,42
Cleats,Apparel,9/4/201,79,13797.7,0.72,65.82,13997.67,42
Men's Clothing,Apparel,11/22/2,46,9699.1,0.72,65.22,8117.73,42
Men's Footwear,Apparel,11/13/2,54,7019.46,0.72,62.96,6846.14,42
Men's Footwear,Apparel,2/18/20,68,8839.32,0.72,70.59,8276.03,42
Men's Footwear,Apparel,6/9/201,65,8449.35,0.72,64.62,9445.94,42
Men's Footwear,Apparel,7/10/20,67,8709.33,0.72,59.7,7972.72,42
Cleats,Apparel,1/20/20,70,12537.91,0.71,65.71,12197.97,43
Cleats,Apparel,10/17/2,38,6358.94,0.71,63.16,7638.73,43
Cleats,Apparel,11/13/2,42,7378.77,0.71,61.9,9438.43,43
Cleats,Apparel,5/26/20,73,13857.69,0.71,61.64,12557.91,43
Cleats,Apparel,8/26/20,72,14937.51,0.71,56.94,14237.63,43
Cleats,Apparel,9/19/20,63,11098.27,0.71,57.14,11858.1,43
Cleats,Apparel,9/20/20,82,14217.75,0.71,58.54,12438.01,43
Crafts,Apparel,12/28/2,68,31380.64,0.71,60.29,23996.96,43
Men's Footwear,Apparel,1/1/201,55,7149.45,0.71,61.82,7149.45,43
Men's Footwear,Apparel,1/17/20,52,6759.48,0.71,48.08,8189.37,43
Men's Footwear,Apparel,2/16/20,63,8189.37,0.71,60.32,8406.02,43
Men's Footwear,Apparel,4/29/20,62,8059.38,0.71,67.74,8059.38,43
Men's Footwear,Apparel,4/30/20,72,9359.28,0.71,63.89,8406.02,43
Men's Footwear,Apparel,5/24/20,66,8579.34,0.71,69.7,9229.29,43
Men's Footwear,Apparel,5/5/201,69,8969.31,0.71,57.97,9185.96,43
Men's Footwear,Apparel,5/8/201,68,8839.32,0.71,60.29,7626.08,43
Men's Footwear,Apparel,8/11/20,69,8969.31,0.71,59.42,9055.97,43
Men's Footwear,Apparel,9/4/201,76,9879.24,0.71,60.53,9229.29,43
Women's Clothing,Apparel,12/14/2,68,14675.76,0.71,61.76,14747.7,43
Women's Clothing,Apparel,12/15/2,58,12517.56,0.71,55.17,14028.3,43
Cleats,Apparel,11/28/2,54,10858.19,0.7,55.56,8738.54,44
Cleats,Apparel,12/21/2,40,7198.8,0.7,52.5,7958.67,44
Cleats,Apparel,2/3/201,80,14157.64,0.7,62.5,10618.23,44
Cleats,Apparel,5/15/20,90,15477.42,0.7,58.89,14497.58,44
Men's Footwear,Apparel,10/7/20,40,5199.6,0.7,62.5,5286.26,44
Men's Footwear,Apparel,11/26/2,43,5589.57,0.7,60.47,6152.86,44
Men's Footwear,Apparel,6/8/201,81,10529.19,0.7,56.79,9099.3,44
Men's Footwear,Apparel,7/23/20,54,7019.46,0.7,55.56,8709.33,44
Men's Footwear,Apparel,7/7/201,81,10529.19,0.7,67.9,9835.91,44
Men's Footwear,Apparel,7/9/201,57,7409.43,0.7,64.91,8362.69,44
Men's Footwear,Apparel,8/20/20,63,8189.37,0.7,60.32,8622.67,44
Men's Footwear,Apparel,8/30/20,63,8189.37,0.7,63.49,8406.02,44
Cleats,Apparel,1/22/20,67,13557.74,0.69,59.7,14077.65,45
Cleats,Apparel,10/23/2,54,10378.27,0.69,53.7,9018.5,45
Cleats,Apparel,11/11/2,70,12837.86,0.69,55.71,9198.47,45
Cleats,Apparel,11/2/20,51,10018.33,0.69,56.86,9298.45,45
Cleats,Apparel,3/1/201,77,14337.61,0.69,57.14,13897.68,45
Cleats,Apparel,4/27/20,68,11878.02,0.69,57.35,12137.98,45
Cleats,Apparel,7/9/201,85,13977.67,0.69,68.24,12297.95,45
Cleats,Apparel,9/25/20,72,12837.98,0.69,66.67,13137.88,45
Men's Footwear,Apparel,11/19/2,45,5849.55,0.69,51.11,6326.18,45
Men's Footwear,Apparel,2/27/20,65,8449.35,0.69,60.0,8882.65,45
Men's Footwear,Apparel,2/3/201,65,8449.35,0.69,61.54,7149.45,45
Men's Footwear,Apparel,3/31/20,72,9359.28,0.69,58.33,9532.6,45
Men's Footwear,Apparel,3/8/201,59,7669.41,0.69,57.63,8189.37,45
Men's Footwear,Apparel,8/22/20,81,10529.19,0.69,65.43,9055.97,45
Children's Clothing,Apparel,10/25/2,68,24282.8,0.68,63.24,24401.83,46
Cleats,Apparel,11/8/20,53,9538.41,0.68,58.49,8858.52,46
Cleats,Apparel,2/14/20,56,9478.42,0.68,53.57,10158.31,46
Cleats,Apparel,2/18/20,76,13497.75,0.68,63.16,14177.64,46
Cleats,Apparel,2/28/20,71,13077.82,0.68,52.11,12397.93,46
Cleats,Apparel,5/8/201,78,13737.71,0.68,60.26,13517.75,46
Crafts,Apparel,11/5/20,69,31842.12,0.68,63.77,24689.18,46
Men's Clothing,Apparel,1/4/201,31,6536.35,0.68,67.74,6536.35,46
Men's Footwear,Apparel,1/13/20,59,7669.41,0.68,59.32,7062.79,46
Men's Footwear,Apparel,10/10/2,44,5719.56,0.68,63.64,8016.05,46
Men's Footwear,Apparel,10/21/2,44,5719.56,0.68,59.09,6759.48,46
Men's Footwear,Apparel,11/11/2,56,7279.44,0.68,57.14,6369.51,46
Men's Footwear,Apparel,12/4/20,50,6499.5,0.68,66.0,5676.23,46
Men's Footwear,Apparel,2/6/201,69,8969.31,0.68,66.67,9229.29,46
Men's Footwear,Apparel,6/24/20,74,9619.26,0.68,52.7,8795.99,46
Men's Footwear,Apparel,6/25/20,63,8189.37,0.68,60.32,8882.65,46
Men's Footwear,Apparel,6/28/20,73,9489.27,0.68,64.38,8579.34,46
Men's Footwear,Apparel,7/2/201,72,9359.28,0.68,56.94,8362.69,46
Cleats,Apparel,1/6/201,82,14397.6,0.67,54.88,13337.78,47
Cleats,Apparel,10/10/2,42,8098.65,0.67,59.52,11478.09,47
Cleats,Apparel,12/4/20,57,10318.28,0.67,61.4,9178.47,47
Cleats,Apparel,6/28/20,76,13677.72,0.67,61.84,13557.74,47
Cleats,Apparel,6/3/201,75,14877.52,0.67,60.0,13357.77,47
Cleats,Apparel,7/15/20,76,14457.59,0.67,59.21,14397.6,47
Cleats,Apparel,8/7/201,78,13437.76,0.67,57.69,13477.75,47
Cleats,Apparel,9/24/20,67,11878.02,0.67,62.69,13297.81,47
Crafts,Apparel,12/27/2,69,31842.12,0.67,63.77,22151.04,47
Crafts,Apparel,12/29/2,69,31842.12,0.67,60.87,31688.29,47
Men's Footwear,Apparel,1/16/20,67,8709.33,0.67,59.7,8666.0,47
Men's Footwear,Apparel,12/22/2,43,5589.57,0.67,65.12,5806.22,47
Men's Footwear,Apparel,12/3/20,45,5849.55,0.67,62.22,6282.85,47
Men's Footwear,Apparel,2/2/201,61,7929.39,0.67,65.57,8276.03,47
Men's Footwear,Apparel,4/22/20,63,8189.37,0.67,60.32,8059.38,47
Men's Footwear,Apparel,6/27/20,64,8319.36,0.67,53.13,8146.04,47
Men's Footwear,Apparel,6/29/20,64,8319.36,0.67,56.25,8709.33,47
Men's Footwear,Apparel,7/4/201,57,7409.43,0.67,57.89,8579.34,47
Men's Footwear,Apparel,8/4/201,66,8579.34,0.67,60.61,8925.98,47
Men's Footwear,Apparel,9/14/20,73,9489.27,0.67,64.38,9532.6,47
Cleats,Apparel,10/24/2,56,10498.25,0.66,62.5,9858.36,48
Cleats,Apparel,11/16/2,47,8398.6,0.66,63.83,8078.65,48
Cleats,Apparel,3/26/20,58,10858.19,0.66,55.17,12357.94,48
Cleats,Apparel,3/31/20,74,13137.81,0.66,62.16,16837.19,48
Cleats,Apparel,4/18/20,76,15237.46,0.66,56.58,14317.61,48
Cleats,Apparel,5/20/20,73,13497.75,0.66,52.05,12537.91,48
Cleats,Apparel,6/11/20,65,11578.07,0.66,56.92,12057.99,48
Cleats,Apparel,7/26/20,83,13797.7,0.66,56.63,13577.74,48
Crafts,Apparel,11/6/20,68,31380.64,0.66,54.41,26919.67,48
Men's Footwear,Apparel,10/24/2,35,4549.65,0.66,60.0,5069.61,48
Men's Footwear,Apparel,3/24/20,59,7669.41,0.66,66.1,7496.09,48
Cleats,Apparel,1/1/201,68,11278.12,0.65,58.82,11278.12,49
Cleats,Apparel,12/17/2,51,8758.54,0.65,56.86,9018.5,49
Cleats,Apparel,2/6/201,83,14877.52,0.65,62.65,12817.86,49
Cleats,Apparel,3/21/20,81,13677.72,0.65,62.96,13397.77,49
Cleats,Apparel,3/24/20,68,11578.07,0.65,61.76,12037.99,49
Cleats,Apparel,4/24/20,71,12537.91,0.65,66.2,12137.98,49
Cleats,Apparel,5/4/201,74,13317.78,0.65,55.41,13697.72,49
Cleats,Apparel,8/10/20,71,12657.89,0.65,54.93,13217.8,49
Cleats,Apparel,8/28/20,84,15777.37,0.65,59.52,14797.53,49
Men's Footwear,Apparel,11/22/2,40,5199.6,0.65,55.0,4679.64,49
Men's Footwear,Apparel,12/15/2,51,6629.49,0.65,60.78,5546.24,49
Men's Footwear,Apparel,2/28/20,75,9749.25,0.65,56.0,8839.32,49
Men's Footwear,Apparel,3/13/20,71,9229.29,0.65,59.15,8189.37,49
Men's Footwear,Apparel,3/7/201,72,9359.28,0.65,56.94,8492.68,49
Women's Clothing,Apparel,1/28/20,69,14891.58,0.65,59.42,12661.44,49
Women's Clothing,Apparel,1/31/20,65,14028.3,0.65,60.0,14531.88,49
Children's Clothing,Apparel,10/22/2,69,24639.9,0.64,53.62,24520.87,50
Cleats,Apparel,12/5/20,59,10798.2,0.64,54.24,10058.32,50
Cleats,Apparel,2/9/201,75,13377.77,0.64,68.0,13877.69,50
Cleats,Apparel,3/18/20,94,18476.92,0.64,60.64,15057.49,50
Cleats,Apparel,3/30/20,99,18416.93,0.64,55.56,17297.12,50
Cleats,Apparel,4/15/20,69,13857.69,0.64,59.42,13997.67,50
Cleats,Apparel,5/28/20,69,12657.89,0.64,53.62,13677.72,50
Cleats,Apparel,6/2/201,67,11458.09,0.64,58.21,11918.01,50
Cleats,Apparel,8/13/20,72,12417.93,0.64,61.11,13817.7,50
Cleats,Apparel,8/15/20,69,12717.88,0.64,60.87,12537.91,50
Crafts,Apparel,11/7/20,56,25842.88,0.64,62.5,29688.55,50
Men's Footwear,Apparel,1/31/20,58,7539.42,0.64,56.9,9402.61,50
Men's Footwear,Apparel,10/23/2,36,4679.64,0.64,72.22,5459.58,50
Men's Footwear,Apparel,3/20/20,69,8969.31,0.64,59.42,8579.34,50
Men's Footwear,Apparel,4/26/20,61,7929.39,0.64,63.93,7452.76,50
Cleats,Apparel,10/1/20,80,14517.58,0.63,57.5,13237.79,51
Cleats,Apparel,2/11/20,64,11758.04,0.63,54.69,13017.83,51
Cleats,Apparel,4/4/201,62,10858.19,0.63,56.45,13117.81,51
Cleats,Apparel,7/25/20,80,13437.76,0.63,55.0,13277.79,51
Cleats,Apparel,7/6/201,65,12477.92,0.63,63.08,13477.75,51
Cleats,Apparel,8/30/20,82,14037.66,0.63,63.41,14217.63,51
Cleats,Apparel,9/16/20,101,15957.38,0.63,60.4,13037.89,51
Crafts,Apparel,12/26/2,19,8768.12,0.63,63.16,21997.21,51
Men's Footwear,Apparel,10/26/2,32,4159.68,0.63,59.38,4896.29,51
Men's Footwear,Apparel,5/31/20,78,10139.22,0.63,64.1,9402.61,51
Men's Footwear,Apparel,6/20/20,64,8319.36,0.63,59.38,9142.63,51
Men's Footwear,Apparel,7/30/20,71,9229.29,0.63,59.15,9142.63,51
Men's Footwear,Apparel,8/19/20,72,9359.28,0.63,54.17,9142.63,51
Children's Clothing,Apparel,10/19/2,68,24282.8,0.62,61.76,17676.45,52
Cleats,Apparel,1/19/20,68,11398.1,0.62,51.47,14237.63,52
Cleats,Apparel,11/23/2,47,8038.66,0.62,63.83,8458.59,52
Cleats,Apparel,11/3/20,42,9118.48,0.62,57.14,10818.2,52
Cleats,Apparel,3/25/20,84,14637.56,0.62,55.95,12697.88,52
Cleats,Apparel,4/3/201,66,12117.98,0.62,57.58,13017.83,52
Men's Footwear,Apparel,1/14/20,63,8189.37,0.62,61.9,7279.44,52
Men's Footwear,Apparel,12/30/2,42,5459.58,0.62,66.67,5849.55,52
Men's Footwear,Apparel,7/8/201,55,7149.45,0.62,56.36,9099.3,52
Men's Footwear,Apparel,8/10/20,68,8839.32,0.62,55.88,8536.01,52
Men's Footwear,Apparel,8/13/20,69,8969.31,0.62,62.32,8622.67,52
Women's Clothing,Apparel,1/30/20,69,14891.58,0.62,56.52,14819.64,52
Cleats,Apparel,10/27/2,41,7918.68,0.61,63.41,8118.65,53
Cleats,Apparel,4/20/20,82,15717.38,0.61,56.1,14217.63,53
Cleats,Apparel,7/13/20,64,11998.0,0.61,59.38,13357.77,53
Men's Clothing,Apparel,11/24/2,62,13072.7,0.61,54.84,12440.15,53
Men's Footwear,Apparel,12/25/2,67,8709.33,0.61,52.24,7192.78,53
Men's Footwear,Apparel,8/24/20,64,8319.36,0.61,57.81,9229.29,53
Cleats,Apparel,12/3/20,47,8098.65,0.6,51.06,8258.62,54
Cleats,Apparel,4/12/20,65,11698.05,0.6,53.85,12397.93,54
Cleats,Apparel,5/30/20,75,14577.57,0.6,53.33,13897.68,54
Cleats,Apparel,6/24/20,84,15117.48,0.6,57.14,12257.96,54
Cleats,Apparel,7/1/201,73,12117.98,0.6,49.32,11918.01,54
Men's Footwear,Apparel,11/7/20,48,6239.52,0.6,54.17,5459.58,54
Men's Footwear,Apparel,2/29/20,25,3249.75,0.6,52.0,7149.45,54
Men's Footwear,Apparel,3/28/20,73,9489.27,0.6,63.01,9185.96,54
Men's Footwear,Apparel,9/28/20,58,7539.42,0.6,60.34,8189.37,54
Cleats,Apparel,2/22/20,75,13497.75,0.59,57.33,12897.85,55
Cleats,Apparel,6/25/20,76,13737.71,0.59,52.63,13437.76,55
Cleats,Apparel,7/30/20,59,11938.01,0.59,66.1,13677.72,55
